round of level0,round of level1,round of level2,round of level3,butterknife cycles,eden cycles
3,1,1,5,6367.118170,4308.772660
3,1,1,6,6258.175340,4956.752610
3,1,1,7,6277.858530,5622.904230
3,1,1,8,6265.898470,6257.943210
3,1,2,5,6309.954790,4682.159260
3,1,2,6,6348.004690,5291.440120
3,1,2,7,6294.049480,5928.088970
3,1,2,8,6282.160080,6578.413680
3,1,3,5,6340.639180,5027.627490
3,1,3,6,6344.665500,5608.881400
3,1,3,7,6301.825360,6320.232060
3,1,3,8,6275.558740,6867.062430
3,1,4,5,6256.338640,5359.037280
3,1,4,6,6271.135420,5999.323520
3,1,4,7,6283.268000,6640.633880
3,1,4,8,6258.190610,7312.484820
3,2,1,5,6251.342250,4549.960860
3,2,1,6,6274.732090,5165.574500
3,2,1,7,6323.770100,5775.926610
3,2,1,8,6263.327640,6413.090930
3,2,2,5,6320.500370,4853.909920
3,2,2,6,6368.526700,5566.440050
3,2,2,7,6293.418580,6226.859260
3,2,2,8,6284.549160,6808.789240
3,2,3,5,6242.014490,5246.211020
3,2,3,6,6327.821930,5879.992240
3,2,3,7,6261.062140,6448.659800
3,2,3,8,6255.680420,7107.564250
3,2,4,5,6313.333070,5546.642610
3,2,4,6,6262.082970,6252.436570
3,2,4,7,6255.301560,6824.411300
3,2,4,8,6227.269400,7463.036310
3,3,1,5,6259.938930,4729.750830
3,3,1,6,6276.890700,5356.492470
3,3,1,7,6239.271020,5999.865060
3,3,1,8,6316.106380,6587.533890
3,3,2,5,6236.723060,5085.400740
3,3,2,6,6246.821920,5711.455180
3,3,2,7,6229.855330,6319.312160
3,3,2,8,6277.416630,6972.980310
3,3,3,5,6291.924460,8411.327400
3,3,3,6,7361.377260,7020.065850
3,3,3,7,7230.969800,8061.769460
3,3,3,8,7457.113300,7375.239280
3,3,4,5,6292.059040,5785.810520
3,3,4,6,6295.825940,6367.941540
3,3,4,7,6308.488290,7030.532370
3,3,4,8,6274.735690,7706.476960
3,4,1,5,6240.439410,5045.404460
3,4,1,6,6298.921360,5570.055480
3,4,1,7,6347.926640,6224.428890
