round of level0,round of level1,round of level2,round of level3,butterknife cycles,eden cycles
4,1,1,6,6778.469580,5192.459180
4,1,1,7,6558.560050,5893.964190
4,1,1,8,6562.456440,7534.187950
4,1,2,6,6761.877720,5603.431090
4,1,2,7,6533.399200,6273.020940
4,1,2,8,6735.312920,7230.285160
4,1,3,6,6685.424550,5959.081520
4,1,3,7,6772.169720,6683.711350
4,1,3,8,6465.013690,7125.248100
4,1,4,6,6480.210290,6393.596810
4,1,4,7,6586.911810,7423.248080
4,1,4,8,6621.925930,8002.290130
4,2,1,6,6628.969940,5559.822600
4,2,1,7,6613.622850,6242.436870
4,2,1,8,6595.548680,7037.332460
4,2,2,6,6550.543100,5789.877250
4,2,2,7,6382.390560,6601.650450
4,2,2,8,6636.290730,7500.992160
4,2,3,6,6361.961360,6245.146420
4,2,3,7,6545.943160,6790.299760
4,2,3,8,6509.909420,7682.158600
4,2,4,6,6553.480560,6398.083620
4,2,4,7,6576.924430,7317.655790
4,2,4,8,6549.524360,8127.280570
4,3,1,6,7028.131090,5977.583820
4,3,1,7,6591.253440,6492.570140
4,3,1,8,6546.002530,6913.018280
4,3,2,6,6669.343490,5936.166240
4,3,2,7,6530.352150,6648.047300
4,3,2,8,6747.386350,7635.524940
4,3,3,6,6688.995080,6591.951160
4,3,3,7,6662.861820,7110.307620
4,3,3,8,6251.186140,8223.802960
4,3,4,6,6875.014510,7026.983280
4,3,4,7,6494.234090,7722.343950
4,3,4,8,6907.226590,8292.217000
4,4,1,6,6656.420620,5936.427090
4,4,1,7,6385.085220,6535.850170
4,4,1,8,6925.952340,8105.877760
4,4,2,6,6433.868350,6348.592120
4,4,2,7,6634.133920,7057.469320
4,4,2,8,7478.557370,8195.744470
4,4,3,6,6547.981090,6760.120590
4,4,3,7,6682.215730,7249.243550
4,4,3,8,6388.868420,7863.339280
4,4,4,6,6408.987640,6965.327970
4,4,4,7,6808.803060,7616.703490
4,4,4,8,6535.386530,8385.156930
5,1,1,6,6660.981080,5348.252680
5,1,1,7,6545.404440,6144.603430
5,1,1,8,6686.934810,6591.989740
5,1,2,6,6580.065640,5729.906740
5,1,2,7,6498.717600,7239.755990
5,1,2,8,6581.323150,8056.471550
5,1,3,6,6888.744420,6139.727090
5,1,3,7,6496.449810,6668.728290
5,1,3,8,6547.374130,7567.301360
5,1,4,6,6556.265660,6627.845480
5,1,4,7,6569.403660,7203.486390
5,1,4,8,6490.546770,7724.641990
5,2,1,6,6486.827530,5772.102020
5,2,1,7,7266.265800,6341.299500
5,2,1,8,6466.123220,7060.105040
5,2,2,6,6554.809490,5981.022750
5,2,2,7,6516.774230,6782.551160
5,2,2,8,6434.330650,7347.146740
5,2,3,6,6619.721780,6353.923650
5,2,3,7,6388.956240,7076.905060
5,2,3,8,6457.190460,7758.803310
5,2,4,6,6405.988810,6538.363580
5,2,4,7,6574.348410,7291.841490
5,2,4,8,7110.642210,8274.181830
5,3,1,6,6540.498790,5971.544960
5,3,1,7,6537.723610,6294.528750
5,3,1,8,6534.621560,7714.048660
5,3,2,6,6747.795120,6285.526180
5,3,2,7,6375.327790,7064.006430
5,3,2,8,6510.085970,8269.368570
5,3,3,6,6651.468080,6568.727820
5,3,3,7,6856.982520,8118.206470
5,3,3,8,6527.109630,7851.055910
5,3,4,6,6579.017340,6877.017980
5,3,4,7,6570.324540,7824.239920
5,3,4,8,6733.058570,8252.095060
5,4,1,6,6649.035900,6037.291440
5,4,1,7,6465.715960,6762.219990
5,4,1,8,6472.281690,7936.358990
5,4,2,6,6606.943600,6537.718200
